iter	Passed	Remaining
182	973	1685
183	979	1681
184	984	1676
185	990	1672
186	996	1667
187	1001	1662
188	1007	1658
189	1014	1655
190	1020	1650
191	1024	1644
192	1030	1639
193	1035	1633
194	1041	1628
195	1047	1624
196	1053	1619
197	1058	1613
198	1063	1608
199	1069	1603
200	1075	1599
201	1081	1595
202	1086	1589
203	1090	1582
204	1096	1577
205	1102	1573
206	1106	1566
207	1113	1563
208	1119	1558
209	1125	1553
210	1130	1548
211	1135	1542
212	1140	1536
213	1146	1532
214	1151	1526
215	1156	1520
216	1162	1516
217	1168	1511
218	1172	1504
219	1178	1500
220	1184	1494
221	1189	1489
222	1195	1484
223	1200	1478
224	1205	1473
225	1211	1468
226	1215	1462
227	1220	1456
228	1226	1451
229	1231	1446
230	1237	1440
231	1242	1435
232	1248	1430
233	1253	1424
234	1259	1420
235	1264	1414
236	1269	1409
237	1275	1404
238	1280	1398
239	1285	1392
240	1291	1387
241	1296	1382
242	1301	1376
243	1307	1371
244	1312	1365
245	1316	1359
246	1322	1354
247	1328	1349
248	1334	1344
249	1339	1339
250	1345	1334
251	1350	1329
252	1356	1324
253	1360	1318
254	1366	1312
255	1371	1307
256	1377	1301
257	1383	1297
258	1389	1292
259	1394	1287
260	1399	1281
261	1406	1277
262	1411	1271
263	1416	1266
264	1422	1261
265	1428	1256
266	1433	1250
267	1439	1245
268	1443	1239
269	1448	1234
270	1454	1228
271	1458	1222
272	1463	1216
273	1469	1212
274	1474	1206
275	1479	1201
276	1485	1196
277	1491	1191
278	1498	1187
279	1503	1181
280	1508	1175
281	1513	1169
282	1519	1164
283	1523	1158
284	1528	1153
285	1534	1147
286	1538	1141
287	1543	1136
288	1548	1130
289	1553	1124
290	1557	1118
291	1562	1113
292	1569	1108
293	1574	1103
294	1579	1097
295	1584	1092
296	1590	1086
297	1594	1081
298	1600	1075
299	1604	1069
300	1609	1063
301	1614	1058
302	1619	1052
303	1624	1047
304	1629	1041
305	1634	1036
306	1639	1030
307	1644	1025
308	1650	1020
309	1655	1014
310	1659	1008
311	1665	1003
312	1670	997
313	1674	992
314	1680	986
315	1685	981
316	1689	975
317	1695	970
318	1700	965
319	1705	959
320	1710	953
321	1715	948
322	1720	942
323	1725	937
324	1730	931
325	1735	926
326	1740	920
327	1744	914
328	1765	917
329	1771	912
330	1776	907
331	1781	901
332	1787	896
333	1792	890
334	1797	885
335	1802	879
336	1807	874
337	1812	868
338	1817	863
339	1822	857
340	1827	851
341	1832	846
342	1837	841
343	1841	835
344	1847	829
345	1852	824
346	1857	818
347	1862	813
348	1867	808
349	1873	802
350	1877	797
351	1884	792
352	1888	786
353	1894	781
354	1900	776
355	1905	770
356	1910	765
357	1916	760
358	1922	754
359	1926	749
360	1932	744
361	1937	738
362	1942	733
363	1948	728
364	1953	722
365	1958	717
366	1964	711
367	1969	706
368	1974	700
369	1980	695
370	1985	690
371	1990	684
372	1996	679
373	2001	674
374	2006	668
375	2011	663
376	2016	657
377	2021	652
378	2027	647
379	2032	641
380	2037	636
381	2042	630
382	2047	625
383	2052	620
384	2058	614
385	2063	609
386	2068	604
387	2073	598
388	2079	593
389	2084	587
390	2089	582
391	2094	576
392	2098	571
393	2103	565
394	2108	560
395	2114	555
396	2119	550
397	2125	544
398	2130	539
399	2136	534
400	2141	528
401	2146	523
402	2152	518
403	2158	512
404	2163	507
405	2168	501
406	2173	496
407	2179	491
408	2184	486
409	2190	480
410	2196	475
411	2202	470
412	2208	465
413	2213	459
414	2219	454
415	2224	449
416	2230	443
417	2235	438
418	2241	433
419	2246	427
420	2252	422
421	2258	417
422	2263	412
423	2268	406
424	2274	401
425	2279	395
426	2284	390
427	2290	385
428	2295	379
429	2301	374
430	2306	369
431	2311	363
432	2315	358
433	2322	353
434	2327	347
435	2332	342
436	2338	337
437	2343	331
438	2349	326
439	2355	321
440	2360	315
441	2365	310
442	2372	305
443	2376	299
444	2381	294
445	2387	289
446	2392	283
447	2396	278
448	2402	272
449	2407	267
450	2412	262
451	2417	256
452	2422	251
453	2427	245
454	2433	240
455	2437	235
456	2442	229
457	2447	224
458	2452	219
459	2457	213
460	2462	208
461	2467	202
462	2472	197
463	2477	192
464	2482	186
465	2487	181
466	2491	176
467	2497	170
468	2502	165
469	2507	160
470	2511	154
471	2517	149
472	2521	143
473	2526	138
474	2531	133
475	2536	127
476	2541	122
477	2547	117
478	2552	111
479	2557	106
480	2562	101
481	2567	95
482	2572	90
483	2577	85
484	2582	79
485	2587	74
486	2592	69
487	2598	63
488	2604	58
489	2608	53
490	2614	47
491	2619	42
492	2624	37
493	2630	31
494	2634	26
495	2639	21
496	2645	15
497	2650	10
498	2655	5
499	2660	0
